Date,DayNum,StID,StName,Timestamp(ms),Trip,VehId,ac_power_kw,ac_power_w,accel,distance,elev_delta,elevation_m,heater_w,hv_current_a,hv_soc_percent,hv_voltage_v,lat,lon,motion_idx,prcp,soc_delta,speed,tmax,tmin
2018-08-24,295.527055593,USW00094847,Detroit,10000,2949,10,,250.0,0.0,0.21152017715335256,0.0,257,0.0,-2.5833333333333335,100.0,394.9166666666667,42.2777844444,-83.7487819444,0,0.0,0.0,0.0,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,14000,2949,10,,250.0,0.2623237719352216,0.161410635037047,1.0,257,0.0,-25.428571428571427,100.0,393.7857142857143,42.2777522222,-83.7488419444,6,0.0,0.0,20.6199989319,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,17100,2949,10,,250.0,0.11711869588706678,0.3500725070705312,0.0,258,0.0,-43.785714285714285,100.0,392.42857142857144,42.2777383333,-83.7486830556,13,0.0,0.0,30.5499992371,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,20000,2949,10,,250.0,0.0650623416810009,0.3704657408324909,0.0,258,0.0,-9.9,100.0,391.0,42.2776958333,-83.7484219444,20,0.0,0.0,28.8899993896,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,23200,2949,10,,250.0,0.08971094284708134,0.1753662142876539,0.0,258,0.0,0.6666666666666666,100.0,392.75,42.2776491667,-83.7481619444,25,0.0,0.0,23.8699989319,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,26400,2949,10,,250.0,0.1370852645900842,0.11731617584950227,1.0,258,0.0,5.785714285714286,100.0,394.5,42.2776411111,-83.74796472220001,31,0.0,0.0,12.429999351500001,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,29400,2949,10,,250.0,0.20856186839099974,0.07030261096050328,0.0,259,0.0,1.75,100.0,394.9166666666667,42.2776344444,-83.7478361111,38,0.0,0.0,7.69000005722,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,32500,2949,10,,250.0,0.39083053145155017,0.13635696764400396,0.0,259,0.0,-6.125,100.0,394.75,42.2776313889,-83.7477566667,44,0.0,0.0,15.289999961900001,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,34800,2949,10,,250.0,0.09685184439185499,1.2948686355532235,0.0,259,0.0,-54.7,100.0,394.0,42.2776494444,-83.74767055560001,52,0.0,0.0,30.109998703000002,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,37900,2949,10,,250.0,0.06940878007429079,1.8004057234633388,2.0,259,0.0,-30.166666666666668,100.0,393.5,42.2778491667,-83.7473880556,57,0.0,0.0,35.25,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,41000,2949,10,,250.0,0.08533034159658291,1.8282319676758407,0.0,261,0.0,-6.928571428571429,100.0,393.0,42.2781316667,-83.7473333333,63,0.0,0.0,36.5,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,44000,2949,10,,250.0,0.06867573955340614,1.8140077398244598,0.0,261,0.0,-9.0,100.0,393.3333333333333,42.2784186111,-83.7473097222,70,0.0,0.0,36.1399993896,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,47200,2949,10,,250.0,0.06960522939051529,1.6939646988137107,0.0,261,0.0,0.08333333333333333,100.0,393.6666666666667,42.2787033333,-83.747295,76,0.0,0.0,34.3099975586,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,50400,2949,10,,250.0,0.09360984524343019,1.375087375357564,0.0,261,0.0,15.571428571428571,100.0,394.0,42.2789691667,-83.74733527779999,82,0.0,0.0,22.6399993896,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,63200,2949,10,,250.0,0.09612456849353349,1.3459747052566706,0.0,261,0.0,4.833333333333333,100.0,394.5,42.279185,-83.7473425,89,0.0,0.0,0.0,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,68000,2949,10,,250.0,0.30755991236647645,0.9222641717038779,0.0,261,0.0,-17.714285714285715,100.0,393.42857142857144,42.2793958333,-83.74724,101,0.0,0.0,17.6399993896,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,71100,2949,10,,250.0,0.15251436901194862,1.1986166940107672,1.0,261,0.0,-37.0625,100.0,392.4375,42.2795405556,-83.747215,108,0.0,0.0,28.92000007630001,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,74200,2949,10,,250.0,0.0918427635608534,1.7308087470014029,0.0,262,0.0,-35.0,100.0,391.5,42.279728611100005,-83.7471730556,116,0.0,0.0,37.0200004578,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,77300,2949,10,,250.0,0.09181935089417868,1.91130562190105,0.0,262,0.0,-18.6875,100.0,392.125,42.2800002778,-83.7471630556,123,0.0,0.0,39.2299995422,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,80400,2949,10,,250.0,0.07655584307675399,1.839137237765696,5.0,262,0.0,-9.142857142857142,100.0,392.5,42.2803002778,-83.7471575,131,0.0,0.0,39.1699981689,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,83400,2949,10,,250.0,0.07649258636888909,1.7893723104498218,0.0,267,0.0,-2.7142857142857144,100.0,392.92857142857144,42.2805888889,-83.74720333329998,138,0.0,0.0,35.6399993896,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,86500,2949,10,,250.0,0.08935987783311983,1.4442081739351025,0.0,267,0.0,16.357142857142858,100.0,393.57142857142856,42.280869722199995,-83.74717249999998,145,0.0,0.0,26.6999988556,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,88600,2949,10,,250.0,0.07436591705866523,0.734498402989895,0.0,267,0.0,14.7,100.0,395.0,42.281096388899996,-83.7471944444,152,0.0,0.0,12.8400001526,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,119000,2949,10,,250.0,0.08591065742581003,0.13617336970585392,0.0,267,0.0,-0.025,100.0,394.55,42.2812116667,-83.74718277779999,157,0.0,0.0,0.0,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,138800,2949,10,,250.0,0.0,0.19818387880902466,0.0,267,0.0,-1.7142857142857142,100.0,394.5,42.2812083333,-83.7473452778,177,0.0,0.0,0.0,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,143900,2949,10,,250.0,0.3928442716896053,0.6778038378704665,-8.0,267,0.0,-25.1875,100.0,393.375,42.2811788889,-83.7474225,184,0.0,0.0,19.8699989319,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,147200,2949,10,,250.0,0.121852483565404,1.269174781212219,0.0,259,0.0,-37.142857142857146,100.0,392.57142857142856,42.2812852778,-83.7474219444,192,0.0,0.0,30.6499996185,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,150300,2949,10,,250.0,0.07651097851971152,1.5238131390152254,0.0,259,0.0,-14.0,100.0,392.0,42.2814844444,-83.7473894444,199,0.0,0.0,33.340000152600005,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,153400,2949,10,,250.0,0.11059769418631714,1.3450265070075629,0.0,259,0.0,12.3125,100.0,393.875,42.2817236111,-83.7473702778,205,0.0,0.0,28.92000007630001,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,156400,2949,10,,250.0,0.049248583710863277,1.0550122275793477,-3.0,259,0.0,12.0,100.0,395.0,42.2819347222,-83.7473580556,213,0.0,0.0,13.4399995804,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,159500,2949,10,,250.0,0.22292528431182548,0.2507833645209596,0.0,256,0.0,8.333333333333334,100.0,395.0,42.282100277800005,-83.7473297222,217,0.0,0.0,6.19000005722,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,162000,2949,10,,250.0,0.14529806319324057,0.8094580681966044,0.0,256,0.0,-30.3,100.0,394.1,42.2821391667,-83.7472825,223,0.0,0.0,20.9399986267,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,164800,2949,10,,250.0,0.08685364831978512,1.4374888191326094,0.0,256,0.0,-47.0,100.0,390.5,42.2822661111,-83.7472416667,228,0.0,0.0,34.0299987793,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,167900,2949,10,,250.0,0.08383909987952379,1.5983118635905074,0.0,256,0.0,-19.571428571428573,100.0,391.14285714285717,42.282491666700004,-83.7471966667,234,0.0,0.0,35.1499977112,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,171000,2949,10,,250.0,0.09042093587546639,1.3149814875451589,-1.0,256,0.0,15.428571428571429,100.0,392.0,42.2827425,-83.74716194439999,241,0.0,0.0,25.279998779299998,80.1,59.0
